route_id,direction,line_id
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1N,N,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
1S,S,1
